image_id,undamaged_building,slight_damage,moderate_damage,severe_damage
12031,89.3,97.09,80.89,-1
13172,-1,-1,-1,-1
11622,-1,98.44,10.49,99.14
13994,-1,96.12,95.75,-1
13893,98.12,70.7,83.68,-1
13933,85.13,-1,-1,-1
14406,8.55,-1,49.0,-1
14177,96.71,-1,-1,-1
14332,-1,-1,-1,38.01
14664,57.56,3.24,-1,98.47
12808,91.64,98.35,-1,-1
12660,14.9,-1,-1,-1
13347,-1,-1,-1,-1
10973,-1,-1,-1,96.8
14156,95.18,77.03,-1,-1
15476,94.7,-1,-1,-1
11246,-1,-1,-1,-1
12620,1.29,80.54,-1,-1
16065,-1,-1,-1,-1
12828,-1,-1,-1,-1
15649,-1,99.57,90.75,28.03
11179,-1,9.53,-1,-1
12283,-1,99.59,96.29,91.7
15437,30.43,-1,-1,-1
15671,-1,-1,-1,-1
12699,-1,-1,-1,-1
13212,57.0,-1,-1,-1
16074,95.52,-1,-1,-1
13233,98.11,95.85,-1,-1
15207,66.19,86.38,-1,-1
15276,-1,54.24,87.68,-1
15761,-1,-1,-1,-1
12122,-1,-1,-1,-1
10978,98.35,-1,-1,97.05
15812,94.62,95.37,79.52,-1
14315,72.27,54.36,-1,-1
12707,-1,93.58,85.94,-1
12074,-1,-1,-1,-1
13804,0.0,98.99,-1,-1
15002,-1,85.72,99.76,-1
10857,96.28,98.93,91.43,77.74
15020,-1,-1,-1,-1
13814,88.3,96.21,-1,-1
13161,-1,89.15,-1,-1
11587,98.9,93.65,-1,-1
10787,-1,-1,-1,79.45
11951,82.95,92.75,49.64,-1
12614,-1,-1,-1,-1
10909,-1,86.76,-1,-1
12127,-1,91.28,-1,-1
12565,98.32,92.14,-1,0.0
14784,-1,-1,-1,94.62
12452,-1,-1,-1,-1
14528,67.38,75.24,-1,-1
15663,-1,-1,-1,-1
13967,93.94,0.0,-1,-1
12812,96.8,-1,93.27,-1
12220,98.83,93.79,-1,96.03
13351,-1,-1,-1,80.97
14017,91.52,-1,-1,-1
12918,0.0,4.17,50.59,89.46
13092,72.7,-1,-1,-1
12348,-1,-1,98.5,-1
14202,95.0,-1,-1,-1
12817,-1,95.21,0.0,-1
12778,-1,-1,-1,-1
11997,92.92,-1,99.59,91.7
12046,56.76,36.68,97.55,-1
13874,96.66,90.14,-1,-1
13649,13.95,90.32,-1,-1
13381,-1,-1,-1,-1
11479,98.55,-1,-1,-1
13747,3.27,88.83,1.82,-1
15452,98.1,-1,-1,-1
11483,-1,-1,98.58,-1
14241,-1,50.24,-1,-1
10899,0.0,-1,-1,-1
10922,-1,-1,-1,83.66
13383,-1,-1,-1,-1
12061,94.9,-1,-1,-1
12289,-1,-1,-1,-1
12028,97.97,-1,-1,-1
15858,40.55,76.58,51.78,-1
13278,-1,100.0,-1,-1
10893,-1,-1,-1,57.35
11637,0.0,87.34,-1,-1
11331,-1,86.89,0.0,-1
12287,-1,-1,-1,-1
14660,46.68,-1,-1,-1
15773,-1,-1,-1,-1
14261,-1,-1,-1,-1
15677,22.37,88.86,97.28,-1
12213,83.08,-1,-1,-1
12676,88.36,75.39,99.53,-1
13070,-1,96.54,-1,-1
11350,-1,-1,64.99,-1
13687,-1,-1,-1,-1
15283,93.03,72.47,49.55,-1
12233,-1,-1,-1,-1
15277,70.01,99.56,90.45,-1
11706,-1,79.67,59.83,100.0
15368,97.63,47.37,-1,-1
12962,-1,94.98,-1,-1
13585,18.44,89.99,-1,91.3
15028,-1,43.21,-1,-1
12391,-1,80.96,-1,86.4
12491,96.17,69.62,98.53,-1
13062,-1,-1,-1,-1
11507,-1,-1,-1,-1
15259,67.12,-1,-1,-1
15341,94.22,-1,-1,-1
12450,-1,-1,-1,-1
12448,-1,-1,-1,-1
11431,-1,-1,-1,-1
13721,36.8,93.07,52.23,-1
13229,-1,94.12,-1,-1
12659,1.67,37.03,0.0,-1
11433,27.71,-1,21.9,-1
13061,-1,-1,-1,-1
12715,-1,-1,98.31,-1
13407,-1,93.95,0.0,-1
14065,93.98,-1,-1,-1
15077,96.83,96.94,-1,-1
12868,92.28,-1,-1,-1
14427,-1,-1,-1,-1
11719,89.71,94.71,-1,87.02
15286,-1,-1,91.57,-1
12946,93.17,37.77,56.41,-1
10878,-1,-1,97.77,94.71
11071,-1,96.1,-1,-1
13386,-1,-1,-1,-1
15877,-1,-1,-1,-1
12530,-1,-1,-1,-1
13969,15.16,-1,-1,-1
15708,-1,-1,-1,-1
11856,-1,-1,-1,-1
12463,0.0,98.51,-1,-1
11767,-1,-1,-1,-1
15138,-1,-1,-1,-1
12064,-1,-1,-1,-1
12441,-1,82.24,-1,-1
13433,-1,0.0,-1,-1
11963,0.0,98.2,-1,76.24
10939,-1,-1,-1,85.75
16297,94.21,-1,-1,-1
15393,99.74,-1,-1,-1
14147,-1,97.56,-1,-1
11173,-1,68.96,-1,-1
10964,-1,-1,-1,95.09
15597,-1,-1,-1,-1
12955,-1,86.33,91.34,-1
11642,89.95,0.0,93.1,-1
15998,-1,-1,-1,-1
13346,-1,-1,-1,-1
11170,0.0,97.59,-1,97.3
15430,91.25,-1,-1,-1
14257,-1,-1,-1,98.24
15588,52.31,-1,-1,-1
11232,-1,99.69,-1,-1
12471,77.44,99.68,62.06,-1
16229,-1,93.06,-1,-1
14831,-1,-1,-1,75.3
13305,-1,-1,-1,86.3
13625,92.07,86.61,-1,-1
10863,42.48,-1,-1,-1
12836,-1,-1,-1,-1
11888,77.48,51.43,-1,36.07
13374,-1,97.26,-1,-1
11467,-1,-1,99.49,-1
12641,-1,-1,-1,-1
13146,-1,96.36,-1,91.25
11621,-1,98.76,68.98,97.52
13767,53.26,94.91,-1,-1
10941,-1,55.5,-1,100.0
11463,-1,-1,-1,-1
12497,-1,12.08,5.02,88.71
16024,-1,-1,-1,-1
10862,90.57,97.25,-1,-1
12274,6.62,97.31,71.43,-1
14256,-1,-1,-1,-1
12841,0.0,-1,98.47,94.68
14963,-1,-1,-1,-1
14179,90.84,-1,-1,-1
11167,51.95,84.82,-1,-1
13794,93.4,-1,-1,92.54
11705,-1,97.14,95.01,94.48
11106,-1,-1,-1,-1
13235,0.0,-1,90.16,-1
12953,0.0,96.6,41.6,-1
12982,-1,99.04,-1,96.32
15825,-1,96.18,-1,-1
11429,54.35,-1,-1,-1
13057,-1,-1,-1,-1
13922,-1,-1,-1,-1
11351,0.0,-1,97.53,-1
11808,99.98,-1,-1,67.3
13330,-1,-1,-1,-1
12523,-1,-1,-1,-1
11619,0.0,-1,84.47,-1
12096,35.97,95.82,-1,-1
11557,32.71,-1,-1,-1
11781,97.32,-1,-1,-1
11328,-1,98.83,-1,-1
13704,3.96,66.85,-1,-1
11934,-1,-1,-1,-1
14851,2.86,-1,-1,92.3
12251,79.12,70.06,-1,-1
14229,-1,-1,-1,93.28
11658,96.76,-1,-1,-1
12058,-1,94.88,-1,-1
14085,92.73,-1,-1,-1
15776,-1,-1,-1,-1
13355,-1,0.0,-1,-1
15125,-1,-1,-1,-1
11641,95.49,62.82,-1,-1
11210,-1,91.66,-1,-1
10972,-1,-1,-1,-1
11078,-1,-1,-1,-1
11568,-1,-1,-1,-1
15887,92.83,-1,88.49,-1
13560,-1,-1,-1,-1
12993,0.0,99.44,-1,-1
11367,84.63,2.46,99.43,-1
15685,95.81,-1,-1,-1
14771,98.95,-1,98.84,-1
12473,-1,99.92,-1,-1
13343,76.22,-1,11.43,94.44
16043,-1,-1,-1,-1
11486,0.0,88.33,-1,-1
11079,-1,-1,-1,-1
13896,85.14,94.04,89.57,-1
14855,66.26,81.8,-1,72.33
10802,6.1,-1,-1,-1
11917,98.97,0.0,0.0,-1
15606,-1,-1,77.48,-1
11127,98.79,31.58,-1,-1
14145,-1,98.19,9.0,-1
13635,-1,96.68,-1,-1
15826,-1,94.55,-1,-1
14918,-1,13.18,-1,-1
11052,-1,92.88,-1,0.0
11878,-1,-1,-1,-1
11193,-1,-1,-1,-1
13677,-1,-1,-1,-1
11434,87.75,0.0,-1,-1
12171,-1,77.18,-1,-1
14897,-1,-1,90.02,-1
11603,-1,-1,73.32,89.71
13039,-1,-1,-1,-1
12334,-1,-1,0.0,80.96
12540,-1,99.92,-1,52.94
13713,-1,98.46,92.82,-1
10938,-1,-1,-1,86.45
14181,95.67,-1,-1,-1
14239,-1,-1,-1,-1
13073,98.87,-1,-1,-1
13123,96.31,-1,-1,-1
11025,-1,0.0,-1,88.2
11012,90.99,97.12,96.26,-1
15348,97.52,-1,-1,-1
14287,99.23,-1,-1,-1
14841,-1,-1,-1,-1
11815,-1,-1,-1,-1
13889,97.95,60.64,-1,-1
12655,-1,-1,92.18,-1
13894,97.2,28.24,67.95,-1
14520,-1,-1,-1,-1
10958,-1,0.0,-1,96.56
13457,-1,-1,-1,-1
14634,-1,-1,-1,-1
15618,-1,-1,-1,75.86
11439,-1,-1,-1,-1
12043,79.64,86.32,-1,-1
13130,79.45,93.83,-1,-1
13524,-1,99.52,-1,-1
10833,-1,-1,0.0,-1
14909,70.59,-1,84.22,-1
11061,-1,-1,-1,96.4
14819,-1,94.24,33.22,-1
12466,-1,29.87,98.89,-1
16045,-1,-1,-1,-1
20417,-1,-1,-1,-1
14264,-1,-1,-1,-1
11171,82.86,23.01,-1,-1
11214,74.31,39.47,-1,-1
13065,-1,71.62,-1,-1
15016,-1,88.03,-1,-1
12522,-1,-1,-1,-1
12085,94.48,89.69,-1,-1
14073,98.72,-1,-1,-1
11829,-1,-1,0.0,95.57
13359,-1,-1,-1,39.55
15201,-1,-1,-1,-1
11136,-1,-1,-1,-1
11592,-1,-1,-1,80.61
14845,71.08,-1,-1,99.05
11828,-1,-1,-1,32.67
11539,96.87,33.12,-1,-1
15359,98.97,-1,-1,-1
10839,-1,-1,40.86,86.73
11237,59.61,71.85,-1,1.06
12712,21.99,96.72,99.6,-1
15402,97.33,-1,-1,-1
12066,-1,-1,-1,-1
11682,-1,24.59,-1,60.93
12116,-1,97.84,-1,97.68
12697,-1,-1,-1,-1
12816,0.0,3.44,-1,-1
14740,-1,43.16,-1,-1
12308,9.62,73.43,98.81,-1
16498,93.86,97.84,-1,-1
16296,96.1,-1,-1,-1
13965,85.74,51.24,-1,-1
15875,-1,-1,-1,-1
11892,-1,-1,-1,-1
14906,14.01,-1,-1,-1
12117,-1,66.6,-1,95.99
10944,-1,96.32,-1,-1
12745,-1,-1,-1,-1
13657,96.43,98.59,99.63,90.66
12623,-1,88.58,99.45,-1
11662,96.16,0.0,-1,99.51
12405,-1,1.85,87.51,91.26
12331,-1,90.11,81.77,-1
10931,-1,-1,-1,7.95
12900,0.0,-1,-1,92.45
11594,-1,-1,-1,83.45
15562,-1,-1,-1,-1
14821,-1,-1,93.4,-1
15840,89.69,97.58,-1,-1
15183,-1,-1,95.43,-1
12090,-1,-1,-1,-1
12819,-1,91.98,27.12,10.75
12542,-1,95.92,95.78,94.16
12972,-1,-1,-1,-1
11561,97.46,0.0,95.27,-1
13245,99.24,-1,-1,-1
10907,92.2,-1,-1,-1
12372,-1,-1,-1,-1
15339,-1,-1,-1,-1
14044,-1,-1,-1,-1
14119,95.64,-1,12.12,-1
15358,99.05,-1,-1,-1
14021,-1,68.25,-1,-1
14055,86.54,89.21,74.18,-1
10929,-1,-1,-1,27.77
14532,98.6,92.0,-1,-1
12330,-1,-1,100.0,-1
15150,-1,-1,-1,-1
14265,-1,-1,-1,-1
14001,-1,-1,-1,-1
14294,83.4,-1,-1,-1
10943,-1,89.72,-1,-1
14161,95.72,-1,-1,-1
11303,-1,22.17,-1,-1
12680,0.0,43.3,76.04,-1
13345,-1,-1,-1,84.39
12457,-1,-1,97.12,86.56
13120,97.24,95.24,-1,-1
15357,98.12,-1,-1,-1
