image_id,undamaged_building,slight_damage,moderate_damage,severe_damage
12031,89.38,96.7,83.95,-1
13172,-1,-1,-1,-1
11622,-1,92.35,39.77,94.63
13994,-1,83.5,95.24,-1
13893,98.09,73.9,76.69,-1
13933,98.37,-1,-1,-1
14406,0.46,-1,47.42,-1
14177,96.66,-1,-1,-1
14332,-1,-1,-1,45.55
14664,57.44,0.0,-1,94.44
12808,91.3,97.48,-1,-1
12660,12.39,-1,-1,-1
13347,-1,-1,-1,-1
10973,-1,-1,-1,86.85
14156,92.63,0.0,-1,-1
15476,95.55,-1,-1,-1
11246,-1,-1,-1,-1
12620,45.87,79.93,-1,-1
16065,-1,-1,-1,-1
12828,-1,-1,-1,-1
15649,-1,99.46,97.83,75.6
11179,-1,24.37,-1,-1
12283,-1,99.06,95.65,78.48
15437,51.21,-1,-1,-1
15671,-1,-1,-1,-1
12699,-1,-1,-1,-1
13212,89.28,-1,-1,-1
16074,96.07,-1,-1,-1
13233,97.78,95.0,-1,-1
15207,80.59,80.45,-1,-1
15276,-1,49.82,74.62,-1
15761,-1,-1,-1,-1
12122,-1,-1,-1,-1
10978,97.86,-1,-1,90.47
15812,95.48,94.85,85.43,-1
14315,65.33,46.96,-1,-1
12707,-1,31.38,90.65,-1
12074,-1,-1,-1,-1
13804,0.0,99.14,-1,-1
15002,-1,89.77,99.69,-1
10857,90.96,98.2,96.42,77.16
15020,-1,-1,-1,-1
13814,95.45,96.81,-1,-1
13161,-1,88.92,-1,-1
11587,98.44,94.37,-1,-1
10787,-1,-1,-1,80.0
11951,91.15,94.48,49.49,-1
12614,-1,-1,-1,-1
10909,-1,77.5,-1,-1
12127,-1,86.33,-1,-1
12565,99.11,94.72,-1,0.0
14784,-1,-1,-1,94.01
12452,-1,-1,-1,-1
14528,90.5,75.3,-1,-1
15663,-1,-1,-1,-1
13967,93.31,0.0,-1,-1
12812,97.2,-1,94.65,-1
12220,98.85,94.65,-1,75.05
13351,-1,-1,-1,65.34
14017,90.85,-1,-1,-1
12918,0.0,0.0,44.69,90.99
13092,93.2,-1,-1,-1
12348,-1,-1,98.3,-1
14202,94.43,-1,-1,-1
12817,-1,98.35,0.0,-1
12778,-1,-1,-1,-1
11997,96.48,-1,99.93,94.21
12046,97.55,8.58,94.8,-1
13874,96.66,95.51,-1,-1
13649,42.59,88.68,-1,-1
13381,-1,-1,-1,-1
11479,98.67,-1,-1,-1
13747,87.59,91.38,0.0,-1
15452,97.6,-1,-1,-1
11483,-1,-1,98.83,-1
14241,-1,0.0,-1,-1
10899,0.0,-1,-1,-1
10922,-1,-1,-1,73.3
13383,-1,-1,-1,-1
12061,94.76,-1,-1,-1
12289,-1,-1,-1,-1
12028,97.1,-1,-1,-1
15858,23.85,86.97,82.95,-1
13278,-1,100.0,-1,-1
10893,-1,-1,-1,47.56
11637,0.0,87.58,-1,-1
11331,-1,89.7,0.0,-1
12287,-1,-1,-1,-1
14660,71.12,-1,-1,-1
15773,-1,-1,-1,-1
14261,-1,-1,-1,-1
15677,23.12,81.46,92.69,-1
12213,84.63,-1,-1,-1
12676,90.06,89.74,99.55,-1
13070,-1,98.09,-1,-1
11350,-1,-1,43.87,-1
13687,-1,-1,-1,-1
15283,92.73,77.32,79.9,-1
12233,-1,-1,-1,-1
15277,68.41,98.36,88.16,-1
11706,-1,86.98,60.11,100.0
15368,97.9,0.0,-1,-1
12962,-1,97.5,-1,-1
13585,48.73,91.56,-1,94.53
15028,-1,43.33,-1,-1
12391,-1,79.83,-1,82.89
12491,96.46,21.51,82.07,-1
13062,-1,-1,-1,-1
11507,-1,-1,-1,-1
15259,58.18,-1,-1,-1
15341,96.45,-1,-1,-1
12450,-1,-1,-1,-1
12448,-1,-1,-1,-1
11431,-1,-1,-1,-1
13721,55.38,91.13,53.08,-1
13229,-1,89.18,-1,-1
12659,2.47,29.51,0.0,-1
11433,79.3,-1,2.33,-1
13061,-1,-1,-1,-1
12715,-1,-1,93.49,-1
13407,-1,87.69,0.0,-1
14065,92.47,-1,-1,-1
15077,97.37,97.91,-1,-1
12868,92.87,-1,-1,-1
14427,-1,-1,-1,-1
11719,85.1,93.74,-1,98.47
