image_id,undamaged_building,slight_damage,moderate_damage,severe_damage
12031,88.95,93.37,79.35,-1
13172,-1,-1,-1,-1
11622,-1,80.45,23.55,95.93
13994,-1,81.93,93.19,-1
13893,96.77,61.48,72.7,-1
13933,98.88,-1,-1,-1
14406,49.12,-1,41.79,-1
14177,96.9,-1,-1,-1
14332,-1,-1,-1,63.28
14664,56.57,0.41,-1,95.31
12808,93.34,98.18,-1,-1
12660,25.09,-1,-1,-1
13347,-1,-1,-1,-1
10973,-1,-1,-1,92.55
14156,87.38,26.69,-1,-1
15476,93.46,-1,-1,-1
11246,-1,-1,-1,-1
12620,22.63,80.09,-1,-1
16065,-1,-1,-1,-1
12828,-1,-1,-1,-1
15649,-1,99.31,82.4,6.22
11179,-1,41.3,-1,-1
12283,-1,99.18,85.2,93.55
15437,28.79,-1,-1,-1
15671,-1,-1,-1,-1
12699,-1,-1,-1,-1
13212,87.29,-1,-1,-1
16074,96.14,-1,-1,-1
13233,97.46,94.96,-1,-1
15207,71.5,64.53,-1,-1
15276,-1,47.31,65.58,-1
15761,-1,-1,-1,-1
12122,-1,-1,-1,-1
10978,97.65,-1,-1,93.05
15812,90.56,95.01,78.66,-1
14315,96.1,52.25,-1,-1
12707,-1,48.21,82.99,-1
12074,-1,-1,-1,-1
13804,0.0,99.85,-1,-1
15002,-1,90.84,98.5,-1
10857,92.24,97.84,91.24,90.82
15020,-1,-1,-1,-1
13814,93.87,80.44,-1,-1
13161,-1,73.54,-1,-1
11587,98.12,92.52,-1,-1
10787,-1,-1,-1,83.23
11951,83.77,93.11,48.77,-1
12614,-1,-1,-1,-1
10909,-1,88.68,-1,-1
12127,-1,96.11,-1,-1
12565,97.31,93.62,-1,0.0
14784,-1,-1,-1,90.17
12452,-1,-1,-1,-1
14528,63.43,75.18,-1,-1
15663,-1,-1,-1,-1
13967,92.85,0.0,-1,-1
12812,97.03,-1,91.81,-1
12220,97.77,94.25,-1,99.13
13351,-1,-1,-1,74.35
14017,86.18,-1,-1,-1
12918,0.0,0.0,45.35,91.11
13092,95.03,-1,-1,-1
12348,-1,-1,95.97,-1
14202,94.33,-1,-1,-1
12817,-1,91.6,0.0,-1
12778,-1,-1,-1,-1
11997,97.91,-1,99.43,86.99
12046,94.77,0.0,91.97,-1
13874,96.49,90.7,-1,-1
13649,17.18,86.41,-1,-1
13381,-1,-1,-1,-1
11479,98.42,-1,-1,-1
13747,6.51,89.7,0.0,-1
15452,98.69,-1,-1,-1
11483,-1,-1,99.42,-1
14241,-1,61.11,-1,-1
10899,0.0,-1,-1,-1
10922,-1,-1,-1,81.42
13383,-1,-1,-1,-1
12061,94.69,-1,-1,-1
12289,-1,-1,-1,-1
12028,97.77,-1,-1,-1
15858,43.48,77.43,9.24,-1
13278,-1,100.0,-1,-1
10893,-1,-1,-1,69.63
11637,15.65,85.32,-1,-1
11331,-1,34.19,0.0,-1
12287,-1,-1,-1,-1
14660,60.41,-1,-1,-1
15773,-1,-1,-1,-1
14261,-1,-1,-1,-1
15677,29.92,58.79,87.24,-1
12213,84.76,-1,-1,-1
12676,78.39,87.48,99.68,-1
13070,-1,96.12,-1,-1
11350,-1,-1,94.64,-1
13687,-1,-1,-1,-1
15283,92.45,77.31,85.3,-1
12233,-1,-1,-1,-1
15277,65.67,98.53,86.65,-1
11706,-1,82.07,97.72,99.94
15368,97.68,5.0,-1,-1
12962,-1,95.73,-1,-1
