image_id,undamaged_building,slight_damage,moderate_damage,severe_damage
12031,90.69,93.76,83.75,-1
13172,-1,-1,-1,-1
11622,-1,2.41,96.51,92.72
13994,-1,83.44,84.91,-1
13893,97.14,92.06,33.92,-1
13933,97.24,-1,-1,-1
14406,11.08,-1,13.13,-1
14177,95.6,-1,-1,-1
14332,-1,-1,-1,67.21
14664,57.22,10.34,-1,93.54
12808,92.53,98.79,-1,-1
12660,5.18,-1,-1,-1
13347,-1,-1,-1,-1
10973,-1,-1,-1,92.77
14156,94.79,0.0,-1,-1
15476,94.11,-1,-1,-1
11246,-1,-1,-1,-1
12620,85.51,80.47,-1,-1
16065,-1,-1,-1,-1
12828,-1,-1,-1,-1
15649,-1,91.24,83.78,32.0
11179,-1,39.27,-1,-1
12283,-1,97.27,75.07,90.42
15437,34.09,-1,-1,-1
15671,-1,-1,-1,-1
12699,-1,-1,-1,-1
13212,90.41,-1,-1,-1
16074,96.31,-1,-1,-1
13233,98.69,94.62,-1,-1
15207,74.71,79.6,-1,-1
15276,-1,47.52,67.26,-1
15761,-1,-1,-1,-1
12122,-1,-1,-1,-1
10978,97.66,-1,-1,88.18
15812,96.9,95.65,69.85,-1
14315,90.32,39.92,-1,-1
12707,-1,62.12,94.83,-1
12074,-1,-1,-1,-1
13804,0.0,98.94,-1,-1
15002,-1,87.79,98.01,-1
10857,92.87,96.0,67.14,71.38
15020,-1,-1,-1,-1
13814,81.01,99.24,-1,-1
13161,-1,78.67,-1,-1
11587,97.62,90.99,-1,-1
10787,-1,-1,-1,69.47
11951,78.47,91.02,48.33,-1
12614,-1,-1,-1,-1
10909,-1,77.23,-1,-1
12127,-1,13.69,-1,-1
12565,99.92,93.34,-1,0.0
14784,-1,-1,-1,89.13
12452,-1,-1,-1,-1
14528,69.62,76.88,-1,-1
15663,-1,-1,-1,-1
13967,94.83,0.0,-1,-1
12812,94.92,-1,94.35,-1
12220,99.72,96.4,-1,97.3
13351,-1,-1,-1,72.54
14017,90.45,-1,-1,-1
12918,0.0,0.0,43.22,86.27
13092,96.91,-1,-1,-1
12348,-1,-1,99.19,-1
14202,96.4,-1,-1,-1
12817,-1,92.52,0.0,-1
12778,-1,-1,-1,-1
11997,90.26,-1,96.08,84.89
12046,74.01,0.0,91.32,-1
13874,97.97,93.73,-1,-1
13649,12.77,81.49,-1,-1
13381,-1,-1,-1,-1
11479,96.14,-1,-1,-1
13747,59.26,88.83,0.0,-1
15452,99.01,-1,-1,-1
11483,-1,-1,99.77,-1
14241,-1,0.0,-1,-1
10899,0.0,-1,-1,-1
10922,-1,-1,-1,76.64
13383,-1,-1,-1,-1
12061,94.77,-1,-1,-1
12289,-1,-1,-1,-1
12028,98.76,-1,-1,-1
15858,54.13,25.23,50.03,-1
13278,-1,95.1,-1,-1
10893,-1,-1,-1,72.27
11637,17.75,90.43,-1,-1
11331,-1,62.28,67.81,-1
12287,-1,-1,-1,-1
14660,80.58,-1,-1,-1
15773,-1,-1,-1,-1
14261,-1,-1,-1,-1
15677,0.0,99.12,83.13,-1
12213,78.04,-1,-1,-1
12676,78.74,83.48,98.66,-1
13070,-1,99.04,-1,-1
11350,-1,-1,62.35,-1
13687,-1,-1,-1,-1
15283,5.65,77.5,24.4,-1
12233,-1,-1,-1,-1
15277,62.17,97.27,69.07,-1
11706,-1,37.63,99.8,100.0
15368,97.88,0.0,-1,-1
12962,-1,92.89,-1,-1
13585,44.84,88.27,-1,95.32
15028,-1,23.92,-1,-1
12391,-1,77.81,-1,97.74
12491,96.87,39.64,99.36,-1
13062,-1,-1,-1,-1
11507,-1,-1,-1,-1
15259,17.91,-1,-1,-1
15341,91.97,-1,-1,-1
12450,-1,-1,-1,-1
12448,-1,-1,-1,-1
11431,-1,-1,-1,-1
13721,45.15,96.5,49.67,-1
13229,-1,87.48,-1,-1
12659,4.06,17.69,0.0,-1
11433,65.71,-1,96.74,-1
13061,-1,-1,-1,-1
12715,-1,-1,91.78,-1
13407,-1,82.68,0.0,-1
14065,92.82,-1,-1,-1
15077,97.52,96.84,-1,-1
12868,94.66,-1,-1,-1
14427,-1,-1,-1,-1
11719,90.37,88.37,-1,92.73
15286,-1,-1,89.65,-1
12946,93.1,7.76,61.4,-1
10878,-1,-1,99.31,90.0
11071,-1,90.72,-1,-1
13386,-1,-1,-1,-1
15877,-1,-1,-1,-1
12530,-1,-1,-1,-1
13969,15.35,-1,-1,-1
15708,-1,-1,-1,-1
11856,-1,-1,-1,-1
12463,9.17,98.37,-1,-1
11767,-1,-1,-1,-1
15138,-1,-1,-1,-1
12064,-1,-1,-1,-1
12441,-1,76.34,-1,-1
13433,-1,0.0,-1,-1
11963,0.0,95.82,-1,70.91
10939,-1,-1,-1,83.41
16297,99.63,-1,-1,-1
15393,99.7,-1,-1,-1
14147,-1,77.57,-1,-1
11173,-1,65.89,-1,-1
10964,-1,-1,-1,87.33
15597,-1,-1,-1,-1
12955,-1,75.97,97.3,-1
11642,88.92,14.83,94.24,-1
15998,-1,-1,-1,-1
13346,-1,-1,-1,-1
11170,0.0,97.43,-1,77.46
15430,92.25,-1,-1,-1
14257,-1,-1,-1,95.35
15588,64.88,-1,-1,-1
11232,-1,98.96,-1,-1
12471,99.07,6.69,76.12,-1
16229,-1,89.2,-1,-1
14831,-1,-1,-1,66.09
13305,-1,-1,-1,92.7
13625,91.66,51.69,-1,-1
10863,17.51,-1,-1,-1
12836,-1,-1,-1,-1
11888,74.48,0.0,-1,33.29
13374,-1,95.55,-1,-1
11467,-1,-1,96.57,-1
12641,-1,-1,-1,-1
13146,-1,94.28,-1,91.48
11621,-1,66.17,80.26,96.51
13767,89.14,95.94,-1,-1
10941,-1,34.4,-1,99.87
11463,-1,-1,-1,-1
12497,-1,0.0,0.0,82.37
16024,-1,-1,-1,-1
10862,93.75,81.33,-1,-1
12274,2.79,96.63,84.81,-1
14256,-1,-1,-1,-1
12841,0.0,-1,98.1,93.25
14963,-1,-1,-1,-1
14179,89.42,-1,-1,-1
11167,58.79,66.27,-1,-1
13794,91.23,-1,-1,92.21
11705,-1,95.51,98.57,99.59
11106,-1,-1,-1,-1
13235,0.0,-1,20.7,-1
12953,71.07,34.92,63.52,-1
12982,-1,98.61,-1,94.75
15825,-1,71.98,-1,-1
11429,98.8,-1,-1,-1
13057,-1,-1,-1,-1
13922,-1,-1,-1,-1
11351,0.0,-1,84.06,-1
11808,100.0,-1,-1,67.27
13330,-1,-1,-1,-1
12523,-1,-1,-1,-1
11619,0.0,-1,52.27,-1
12096,93.24,96.42,-1,-1
11557,67.76,-1,-1,-1
11781,97.83,-1,-1,-1
11328,-1,97.28,-1,-1
13704,21.29,69.66,-1,-1
11934,-1,-1,-1,-1
14851,25.6,-1,-1,92.76
12251,93.07,55.35,-1,-1
14229,-1,-1,-1,94.12
11658,91.16,-1,-1,-1
12058,-1,88.46,-1,-1
14085,94.94,-1,-1,-1
15776,-1,-1,-1,-1
13355,-1,0.1,-1,-1
15125,-1,-1,-1,-1
11641,95.94,12.08,-1,-1
11210,-1,56.02,-1,-1
10972,-1,-1,-1,-1
11078,-1,-1,-1,-1
11568,-1,-1,-1,-1
15887,95.61,-1,68.82,-1
13560,-1,-1,-1,-1
12993,0.0,99.51,-1,-1
11367,0.0,88.45,98.82,-1
15685,95.93,-1,-1,-1
14771,99.22,-1,98.67,-1
12473,-1,99.93,-1,-1
13343,43.53,-1,0.0,80.79
16043,-1,-1,-1,-1
11486,0.0,91.53,-1,-1
11079,-1,-1,-1,-1
13896,92.46,83.15,82.35,-1
14855,87.2,79.08,-1,63.68
10802,6.05,-1,-1,-1
11917,98.64,0.0,56.71,-1
15606,-1,-1,93.3,-1
11127,97.48,97.22,-1,-1
14145,-1,56.95,54.48,-1
13635,-1,96.01,-1,-1
15826,-1,78.49,-1,-1
14918,-1,51.33,-1,-1
11052,-1,89.39,-1,0.0
11878,-1,-1,-1,-1
11193,-1,-1,-1,-1
13677,-1,-1,-1,-1
11434,89.15,0.0,-1,-1
12171,-1,17.97,-1,-1
14897,-1,-1,90.16,-1
11603,-1,-1,38.22,72.3
13039,-1,-1,-1,-1
12334,-1,-1,2.22,80.54
12540,-1,99.91,-1,67.44
13713,-1,99.07,86.36,-1
10938,-1,-1,-1,93.36
14181,97.02,-1,-1,-1
14239,-1,-1,-1,-1
13073,99.35,-1,-1,-1
13123,95.35,-1,-1,-1
11025,-1,0.0,-1,88.28
11012,90.26,97.38,86.33,-1
15348,97.01,-1,-1,-1
14287,99.49,-1,-1,-1
14841,-1,-1,-1,-1
11815,-1,-1,-1,-1
13889,97.4,82.77,-1,-1
12655,-1,-1,96.11,-1
13894,92.0,60.49,57.02,-1
14520,-1,-1,-1,-1
10958,-1,0.0,-1,86.25
13457,-1,-1,-1,-1
14634,-1,-1,-1,-1
15618,-1,-1,-1,73.98
11439,-1,-1,-1,-1
12043,79.48,81.41,-1,-1
13130,95.59,98.18,-1,-1
13524,-1,98.83,-1,-1
10833,-1,-1,0.0,-1
14909,94.29,-1,95.4,-1
11061,-1,-1,-1,89.71
14819,-1,97.86,89.1,-1
12466,-1,43.21,98.4,-1
16045,-1,-1,-1,-1
20417,-1,-1,-1,-1
14264,-1,-1,-1,-1
11171,87.95,55.11,-1,-1
11214,66.19,42.58,-1,-1
13065,-1,88.35,-1,-1
15016,-1,31.59,-1,-1
12522,-1,-1,-1,-1
12085,97.85,94.4,-1,-1
14073,99.8,-1,-1,-1
11829,-1,-1,0.0,89.57
13359,-1,-1,-1,72.16
15201,-1,-1,-1,-1
11136,-1,-1,-1,-1
11592,-1,-1,-1,92.7
14845,54.93,-1,-1,98.97
11828,-1,-1,-1,0.0
11539,96.6,62.66,-1,-1
15359,98.86,-1,-1,-1
10839,-1,-1,1.08,84.38
11237,98.78,15.48,-1,35.48
12712,48.16,95.58,0.0,-1
15402,96.18,-1,-1,-1
12066,-1,-1,-1,-1
11682,-1,0.0,-1,63.63
12116,-1,98.74,-1,98.26
12697,-1,-1,-1,-1
12816,33.38,1.04,-1,-1
14740,-1,6.02,-1,-1
12308,0.95,77.0,87.59,-1
16498,93.72,81.2,-1,-1
16296,95.33,-1,-1,-1
13965,72.38,0.0,-1,-1
15875,-1,-1,-1,-1
11892,-1,-1,-1,-1
14906,89.1,-1,-1,-1
12117,-1,36.46,-1,88.36
10944,-1,90.66,-1,-1
12745,-1,-1,-1,-1
13657,96.06,95.15,99.74,90.35
12623,-1,89.44,99.33,-1
11662,96.53,0.0,-1,98.87
12405,-1,11.96,84.37,93.71
12331,-1,92.05,82.75,-1
10931,-1,-1,-1,31.81
12900,0.0,-1,-1,90.84
11594,-1,-1,-1,92.25
15562,-1,-1,-1,-1
14821,-1,-1,23.99,-1
15840,83.35,65.96,-1,-1
15183,-1,-1,83.61,-1
12090,-1,-1,-1,-1
12819,-1,91.4,27.18,33.21
12542,-1,92.96,93.71,77.03
12972,-1,-1,-1,-1
11561,98.82,0.0,87.67,-1
13245,99.55,-1,-1,-1
10907,91.08,-1,-1,-1
12372,-1,-1,-1,-1
15339,-1,-1,-1,-1
14044,-1,-1,-1,-1
14119,92.52,-1,0.0,-1
15358,98.74,-1,-1,-1
14021,-1,0.0,-1,-1
14055,95.75,97.29,17.95,-1
10929,-1,-1,-1,91.57
14532,98.16,45.76,-1,-1
12330,-1,-1,99.71,-1
15150,-1,-1,-1,-1
14265,-1,-1,-1,-1
14001,-1,-1,-1,-1
14294,92.42,-1,-1,-1
10943,-1,88.08,-1,-1
14161,94.78,-1,-1,-1
11303,-1,2.77,-1,-1
12680,0.0,19.04,46.04,-1
13345,-1,-1,-1,100.0
12457,-1,-1,97.89,78.05
13120,97.32,85.46,-1,-1
15357,97.13,-1,-1,-1
