image_id,undamaged_building,slight_damage,moderate_damage,severe_damage
12031,93.82,91.15,93.98,-1
13172,-1,-1,-1,-1
11622,-1,32.51,65.51,95.34
13994,-1,88.69,82.65,-1
13893,87.47,43.48,8.66,-1
13933,99.4,-1,-1,-1
14406,64.69,-1,45.37,-1
14177,97.04,-1,-1,-1
14332,-1,-1,-1,62.5
14664,57.28,0.0,-1,99.2
12808,92.67,77.0,-1,-1
12660,18.73,-1,-1,-1
13347,-1,-1,-1,-1
10973,-1,-1,-1,98.36
14156,95.85,0.0,-1,-1
15476,95.95,-1,-1,-1
11246,-1,-1,-1,-1
12620,3.23,78.22,-1,-1
16065,-1,-1,-1,-1
12828,-1,-1,-1,-1
15649,-1,98.41,84.22,90.66
11179,-1,50.7,-1,-1
12283,-1,98.24,88.02,75.79
15437,78.75,-1,-1,-1
15671,-1,-1,-1,-1
12699,-1,-1,-1,-1
13212,0.6,-1,-1,-1
16074,96.66,-1,-1,-1
13233,98.9,98.76,-1,-1
15207,75.0,66.53,-1,-1
15276,-1,46.28,74.38,-1
15761,-1,-1,-1,-1
12122,-1,-1,-1,-1
10978,95.96,-1,-1,90.76
15812,90.68,97.57,58.62,-1
14315,93.08,56.2,-1,-1
12707,-1,30.1,94.13,-1
12074,-1,-1,-1,-1
13804,0.0,99.02,-1,-1
15002,-1,83.97,98.5,-1
10857,91.36,96.8,59.82,88.29
15020,-1,-1,-1,-1
13814,86.76,92.08,-1,-1
13161,-1,69.98,-1,-1
11587,95.63,90.81,-1,-1
10787,-1,-1,-1,73.77
11951,88.25,85.03,68.37,-1
12614,-1,-1,-1,-1
10909,-1,97.71,-1,-1
12127,-1,98.45,-1,-1
12565,83.84,95.0,-1,0.0
14784,-1,-1,-1,97.3
12452,-1,-1,-1,-1
14528,62.75,71.75,-1,-1
15663,-1,-1,-1,-1
13967,95.79,0.0,-1,-1
12812,94.75,-1,93.54,-1
12220,99.58,96.19,-1,99.16
13351,-1,-1,-1,54.87
14017,88.43,-1,-1,-1
12918,0.0,42.9,87.01,93.85
13092,63.77,-1,-1,-1
12348,-1,-1,99.53,-1
14202,96.36,-1,-1,-1
