image_id,undamaged_building,slight_damage,moderate_damage,severe_damage
12031,89.15,94.61,89.8,-1
13172,-1,-1,-1,-1
11622,-1,93.35,83.93,97.43
13994,-1,90.26,97.38,-1
13893,96.33,35.83,41.22,-1
13933,97.65,-1,-1,-1
14406,57.0,-1,14.09,-1
14177,97.32,-1,-1,-1
14332,-1,-1,-1,68.24
14664,34.1,5.75,-1,99.03
12808,90.91,99.14,-1,-1
12660,6.2,-1,-1,-1
13347,-1,-1,-1,-1
10973,-1,-1,-1,98.18
14156,95.6,0.0,-1,-1
15476,95.15,-1,-1,-1
11246,-1,-1,-1,-1
12620,84.23,79.58,-1,-1
16065,-1,-1,-1,-1
12828,-1,-1,-1,-1
15649,-1,99.07,96.66,68.71
11179,-1,29.56,-1,-1
12283,-1,98.21,97.3,78.54
15437,39.77,-1,-1,-1
15671,-1,-1,-1,-1
12699,-1,-1,-1,-1
13212,86.16,-1,-1,-1
16074,95.69,-1,-1,-1
13233,98.3,97.2,-1,-1
15207,70.19,80.76,-1,-1
15276,-1,71.88,94.62,-1
15761,-1,-1,-1,-1
12122,-1,-1,-1,-1
10978,93.63,-1,-1,84.34
15812,95.49,94.35,72.08,-1
14315,68.66,69.42,-1,-1
12707,-1,12.8,97.62,-1
12074,-1,-1,-1,-1
13804,0.0,99.51,-1,-1
15002,-1,89.84,99.84,-1
10857,0.0,97.31,90.72,85.58
15020,-1,-1,-1,-1
13814,83.96,96.59,-1,-1
13161,-1,90.26,-1,-1
11587,98.19,94.13,-1,-1
10787,-1,-1,-1,84.63
11951,82.52,94.2,50.55,-1
12614,-1,-1,-1,-1
10909,-1,94.55,-1,-1
12127,-1,81.59,-1,-1
12565,98.07,92.7,-1,0.0
14784,-1,-1,-1,78.92
12452,-1,-1,-1,-1
14528,94.91,74.91,-1,-1
15663,-1,-1,-1,-1
13967,93.59,0.0,-1,-1
12812,97.07,-1,96.83,-1
12220,97.38,94.11,-1,86.59
13351,-1,-1,-1,64.64
14017,89.37,-1,-1,-1
12918,0.0,5.4,44.65,90.94
13092,86.46,-1,-1,-1
12348,-1,-1,97.79,-1
14202,95.05,-1,-1,-1
12817,-1,98.38,0.0,-1
12778,-1,-1,-1,-1
11997,93.88,-1,99.8,90.82
12046,59.67,0.0,98.97,-1
13874,96.6,98.46,-1,-1
13649,0.0,88.59,-1,-1
13381,-1,-1,-1,-1
11479,98.49,-1,-1,-1
13747,85.67,90.94,70.61,-1
15452,96.89,-1,-1,-1
11483,-1,-1,99.57,-1
14241,-1,86.37,-1,-1
10899,0.0,-1,-1,-1
10922,-1,-1,-1,79.66
13383,-1,-1,-1,-1
12061,93.71,-1,-1,-1
12289,-1,-1,-1,-1
12028,97.6,-1,-1,-1
15858,50.6,66.74,52.21,-1
13278,-1,100.0,-1,-1
10893,-1,-1,-1,59.07
11637,8.87,90.14,-1,-1
11331,-1,84.14,82.31,-1
12287,-1,-1,-1,-1
14660,85.64,-1,-1,-1
15773,-1,-1,-1,-1
14261,-1,-1,-1,-1
15677,0.0,88.95,98.49,-1
12213,80.95,-1,-1,-1
12676,71.99,69.88,99.91,-1
13070,-1,98.03,-1,-1
11350,-1,-1,57.89,-1
13687,-1,-1,-1,-1
15283,93.6,74.92,46.42,-1
12233,-1,-1,-1,-1
15277,64.16,98.92,95.41,-1
11706,-1,86.67,88.27,100.0
15368,94.36,0.24,-1,-1
12962,-1,94.74,-1,-1
13585,20.42,93.19,-1,98.17
15028,-1,43.6,-1,-1
12391,-1,80.26,-1,91.83
12491,94.66,61.73,98.47,-1
13062,-1,-1,-1,-1
11507,-1,-1,-1,-1
15259,2.55,-1,-1,-1
15341,94.24,-1,-1,-1
12450,-1,-1,-1,-1
12448,-1,-1,-1,-1
11431,-1,-1,-1,-1
13721,54.71,91.59,53.23,-1
13229,-1,64.09,-1,-1
12659,2.55,25.83,0.0,-1
11433,68.76,-1,0.0,-1
13061,-1,-1,-1,-1
12715,-1,-1,98.35,-1
13407,-1,81.65,0.0,-1
14065,90.98,-1,-1,-1
15077,97.1,96.16,-1,-1
12868,91.33,-1,-1,-1
14427,-1,-1,-1,-1
11719,66.17,93.89,-1,97.79
15286,-1,-1,97.65,-1
12946,92.88,99.04,70.45,-1
10878,-1,-1,96.63,92.63
11071,-1,95.98,-1,-1
13386,-1,-1,-1,-1
15877,-1,-1,-1,-1
12530,-1,-1,-1,-1
13969,15.25,-1,-1,-1
15708,-1,-1,-1,-1
11856,-1,-1,-1,-1
12463,0.0,99.23,-1,-1
11767,-1,-1,-1,-1
15138,-1,-1,-1,-1
12064,-1,-1,-1,-1
12441,-1,68.02,-1,-1
13433,-1,2.09,-1,-1
11963,0.0,95.95,-1,78.28
10939,-1,-1,-1,80.46
16297,97.37,-1,-1,-1
15393,98.66,-1,-1,-1
14147,-1,72.66,-1,-1
11173,-1,61.29,-1,-1
10964,-1,-1,-1,94.21
15597,-1,-1,-1,-1
12955,-1,59.4,98.89,-1
11642,87.85,0.0,89.25,-1
15998,-1,-1,-1,-1
13346,-1,-1,-1,-1
11170,0.0,97.0,-1,28.91
15430,89.95,-1,-1,-1
14257,-1,-1,-1,98.85
15588,0.0,-1,-1,-1
11232,-1,99.72,-1,-1
12471,89.85,98.95,85.52,-1
16229,-1,85.91,-1,-1
14831,-1,-1,-1,71.18
13305,-1,-1,-1,92.82
13625,92.52,59.6,-1,-1
10863,35.89,-1,-1,-1
12836,-1,-1,-1,-1
11888,74.03,30.48,-1,40.84
13374,-1,68.72,-1,-1
11467,-1,-1,97.49,-1
12641,-1,-1,-1,-1
13146,-1,94.22,-1,86.51
11621,-1,95.15,80.65,87.06
13767,65.06,97.84,-1,-1
10941,-1,40.66,-1,97.94
11463,-1,-1,-1,-1
12497,-1,98.8,0.0,88.89
16024,-1,-1,-1,-1
10862,71.27,71.98,-1,-1
12274,27.49,95.53,84.21,-1
14256,-1,-1,-1,-1
12841,0.0,-1,97.78,95.94
14963,-1,-1,-1,-1
14179,97.88,-1,-1,-1
11167,6.38,92.79,-1,-1
13794,88.43,-1,-1,91.68
11705,-1,96.48,99.78,100.0
11106,-1,-1,-1,-1
13235,0.0,-1,56.88,-1
12953,34.32,90.34,0.0,-1
12982,-1,99.09,-1,97.07
15825,-1,91.67,-1,-1
11429,94.86,-1,-1,-1
13057,-1,-1,-1,-1
13922,-1,-1,-1,-1
11351,0.0,-1,99.92,-1
11808,100.0,-1,-1,67.13
13330,-1,-1,-1,-1
12523,-1,-1,-1,-1
11619,0.0,-1,53.79,-1
12096,17.69,97.9,-1,-1
11557,5.64,-1,-1,-1
11781,95.64,-1,-1,-1
11328,-1,99.15,-1,-1
13704,88.36,69.27,-1,-1
11934,-1,-1,-1,-1
14851,0.0,-1,-1,95.1
12251,88.45,74.69,-1,-1
14229,-1,-1,-1,93.97
11658,95.81,-1,-1,-1
12058,-1,91.88,-1,-1
14085,96.12,-1,-1,-1
15776,-1,-1,-1,-1
13355,-1,0.0,-1,-1
15125,-1,-1,-1,-1
11641,94.99,77.96,-1,-1
11210,-1,64.37,-1,-1
10972,-1,-1,-1,-1
11078,-1,-1,-1,-1
11568,-1,-1,-1,-1
