image_id,undamaged_building,slight_damage,moderate_damage,severe_damage
12031,94.26,90.69,89.37,-1
13172,-1,-1,-1,-1
11622,-1,98.96,77.78,90.5
13994,-1,92.77,75.3,-1
13893,98.41,96.83,96.89,-1
13933,98.03,-1,-1,-1
14406,54.1,-1,51.6,-1
14177,97.19,-1,-1,-1
14332,-1,-1,-1,70.64
14664,57.25,0.0,-1,92.98
12808,93.9,94.07,-1,-1
12660,38.93,-1,-1,-1
13347,-1,-1,-1,-1
10973,-1,-1,-1,95.76
14156,91.52,25.61,-1,-1
15476,94.16,-1,-1,-1
11246,-1,-1,-1,-1
12620,25.34,79.52,-1,-1
16065,-1,-1,-1,-1
12828,-1,-1,-1,-1
15649,-1,98.82,68.32,74.1
11179,-1,39.22,-1,-1
12283,-1,98.96,93.07,89.52
15437,37.09,-1,-1,-1
15671,-1,-1,-1,-1
12699,-1,-1,-1,-1
13212,0.0,-1,-1,-1
16074,95.04,-1,-1,-1
13233,98.63,96.79,-1,-1
15207,69.35,45.64,-1,-1
15276,-1,50.09,96.16,-1
15761,-1,-1,-1,-1
12122,-1,-1,-1,-1
10978,91.72,-1,-1,98.2
15812,97.02,92.96,61.12,-1
14315,98.55,53.68,-1,-1
12707,-1,97.15,77.54,-1
12074,-1,-1,-1,-1
13804,0.0,99.12,-1,-1
15002,-1,85.39,99.53,-1
10857,97.35,99.94,45.13,86.47
15020,-1,-1,-1,-1
13814,97.14,96.47,-1,-1
13161,-1,76.12,-1,-1
11587,98.23,92.8,-1,-1
10787,-1,-1,-1,75.89
11951,78.03,94.61,51.38,-1
12614,-1,-1,-1,-1
10909,-1,91.37,-1,-1
12127,-1,90.62,-1,-1
12565,99.41,96.46,-1,0.05
14784,-1,-1,-1,92.23
12452,-1,-1,-1,-1
14528,63.19,74.53,-1,-1
15663,-1,-1,-1,-1
13967,96.74,0.0,-1,-1
12812,45.37,-1,89.87,-1
12220,98.42,96.4,-1,79.07
13351,-1,-1,-1,59.87
14017,91.88,-1,-1,-1
12918,0.0,73.76,44.72,92.1
13092,94.79,-1,-1,-1
12348,-1,-1,98.05,-1
14202,97.08,-1,-1,-1
12817,-1,94.82,0.0,-1
12778,-1,-1,-1,-1
11997,93.18,-1,96.35,96.78
12046,92.43,2.74,92.9,-1
13874,97.66,99.36,-1,-1
13649,18.22,81.3,-1,-1
13381,-1,-1,-1,-1
11479,99.56,-1,-1,-1
13747,90.89,87.27,0.0,-1
15452,98.22,-1,-1,-1
11483,-1,-1,98.86,-1
14241,-1,55.53,-1,-1
10899,0.0,-1,-1,-1
10922,-1,-1,-1,84.4
13383,-1,-1,-1,-1
